"","chain","pct_correct","num_changes","Size","exp"
"255",55,0.596,14,100,"2"
"256",56,0.186,27,100,"2"
"257",57,0.796,33,100,"2"
"258",58,0.607,29,100,"2"
"259",59,0.62,9,100,"2"
"260",60,0.623,57,100,"2"
"261",61,0.5,30,100,"2"
"262",62,0.007,36,100,"2"
"263",63,0.598,101,100,"2"
"264",64,0.194,58,100,"2"
"265",65,0.544,9,100,"2"
"266",66,0.568,12,100,"2"
"267",67,0.593,11,100,"2"
"268",68,0.209,12,100,"2"
"269",69,0.001,28,100,"2"
"270",70,0.503,57,100,"2"
"271",71,0.661,3,100,"2"
"272",72,0.053,16,100,"2"
"273",73,0.678,5,100,"2"
"274",74,0.152,18,100,"2"
"275",75,0.765,26,100,"2"
"276",76,0.374,101,100,"2"
"277",77,0.003,6,100,"2"
"278",78,0.77,42,100,"2"
"279",79,0.951,6,100,"2"
"280",80,0.429,14,100,"2"
"281",81,0.088,16,100,"2"
"282",82,0.684,36,100,"2"
"283",83,0.874,32,100,"2"
"284",84,0.337,106,100,"2"
"285",85,0.233,31,100,"2"
"286",86,0.204,27,100,"2"
"287",87,0,26,100,"2"
"288",88,0.375,15,100,"2"
"289",89,0.745,13,100,"2"
"290",90,0.95,6,100,"2"
"291",91,0.604,36,100,"2"
"292",92,0.551,7,100,"2"
"293",93,0.56,94,100,"2"
"294",94,0.92,19,100,"2"
"295",95,0.502,5,100,"2"
"296",96,0.606,15,100,"2"
"297",97,0.552,32,100,"2"
"298",98,0.653,82,100,"2"
"299",99,0.857,27,100,"2"
"300",100,0.372,14,100,"2"
"301",1,0.045,9,10000,"2"
"302",2,0.433,20,10000,"2"
"303",3,0.438,7,10000,"2"
"304",4,0.721,14,10000,"2"
"305",5,0.385,9,10000,"2"
"306",6,0.998,3,10000,"2"
"307",7,0.423,2,10000,"2"
"308",8,0.84,8,10000,"2"
"309",9,0.798,5,10000,"2"
"310",10,0,2,10000,"2"
"311",11,0,4,10000,"2"
"312",12,0.114,13,10000,"2"
"313",13,0.964,3,10000,"2"
"314",14,0.954,13,10000,"2"
"315",15,0.92,2,10000,"2"
"316",16,0.978,5,10000,"2"
"317",17,0,4,10000,"2"
"318",18,0.959,9,10000,"2"
"319",19,0.202,6,10000,"2"
"320",20,0.996,3,10000,"2"
"321",21,0.142,4,10000,"2"
"322",22,0.005,9,10000,"2"
"323",23,0.752,6,10000,"2"
"324",24,0.762,15,10000,"2"
"325",25,0.914,5,10000,"2"
"326",26,0,2,10000,"2"
"327",27,0.261,5,10000,"2"
"328",28,0,7,10000,"2"
"329",29,0.232,5,10000,"2"
"330",30,0.16,9,10000,"2"
"331",31,0.125,10,10000,"2"
"332",32,0.033,10,10000,"2"
"333",33,0.023,7,10000,"2"
"334",34,0,6,10000,"2"
"335",35,0.001,6,10000,"2"
"336",36,0.883,2,10000,"2"
"337",37,0.279,5,10000,"2"
"338",38,1,0,10000,"2"
"339",39,0.243,16,10000,"2"
"340",40,0.946,4,10000,"2"
"341",41,0,4,10000,"2"
"342",42,0.926,7,10000,"2"
"343",43,0.956,11,10000,"2"
"344",44,0.009,4,10000,"2"
"345",45,0,1,10000,"2"
"346",46,0.092,6,10000,"2"
"347",47,0.491,6,10000,"2"
"348",48,0.825,5,10000,"2"
"349",49,0.324,6,10000,"2"
"350",50,0.116,3,10000,"2"
"351",51,0.959,9,10000,"2"
"352",52,0,4,10000,"2"
"353",53,0.983,16,10000,"2"
"354",54,0.486,9,10000,"2"
"355",55,0.614,3,10000,"2"
"356",56,0,7,10000,"2"
"357",57,0.951,7,10000,"2"
"358",58,0.96,4,10000,"2"
"359",59,0.022,8,10000,"2"
"360",60,0.604,4,10000,"2"
"361",61,0.141,4,10000,"2"
"362",62,0.902,5,10000,"2"
"363",63,0.031,15,10000,"2"
"364",64,0.786,15,10000,"2"
"365",65,0.013,4,10000,"2"
"366",66,0.99,11,10000,"2"
"367",67,0.169,3,10000,"2"
"368",68,0.807,8,10000,"2"
"369",69,0.993,3,10000,"2"
"370",70,0.965,5,10000,"2"
"371",71,0.482,4,10000,"2"
"372",72,0.812,9,10000,"2"
"373",73,0.989,3,10000,"2"
"374",74,0.607,8,10000,"2"
"375",75,0.079,6,10000,"2"
"376",76,0.147,5,10000,"2"
"377",77,0.999,1,10000,"2"
"378",78,0,5,10000,"2"
"379",79,1,0,10000,"2"
"380",80,0.662,9,10000,"2"
"381",81,0.915,23,10000,"2"
