"n","nchain","run","exp","rmse","cov"
20000,1,19,1,0.106017896438876,0.87
20000,10,19,1,0.0970480118404407,0.952
20000,20,19,1,0.0942315913989805,0.963
50000,1,19,1,0.111269207730718,0.88
50000,10,19,1,0.103233583927803,0.941
50000,20,19,1,0.104911611876433,0.954
1000,1,2,1,0.228661884769742,0.907
1000,10,2,1,0.225513049283235,0.919
1000,20,2,1,0.225228184835387,0.919
10000,1,2,1,0.0944017093640289,0.949
10000,10,2,1,0.0888368635793242,0.969
10000,20,2,1,0.0862720701735274,0.971
1e+05,1,2,1,0.11047358692457,0.864
1e+05,10,2,1,0.0976202179460267,0.97
1e+05,20,2,1,0.0966719287908084,0.977
20000,1,2,1,0.0876002327688493,0.924
20000,10,2,1,0.0889828304309408,0.973
20000,20,2,1,0.089085831904379,0.975
50000,1,2,1,0.10338561888848,0.881
50000,10,2,1,0.0929857994818411,0.962
50000,20,2,1,0.0941935592811277,0.964
1000,1,20,1,0.201344472043296,0.938
1000,10,20,1,0.198463286778892,0.939
1000,20,20,1,0.198470375709827,0.943
10000,1,20,1,0.109221952890766,0.912
10000,10,20,1,0.106166655043329,0.956
10000,20,20,1,0.104028759130946,0.959
1e+05,1,20,1,0.06691566577091,0.915
1e+05,10,20,1,0.0636067984009915,0.983
1e+05,20,20,1,0.0610349380254318,0.989
20000,1,20,1,0.0838036009890193,0.913
20000,10,20,1,0.0838239706123232,0.972
20000,20,20,1,0.0857379822261569,0.976
50000,1,20,1,0.0871064955471394,0.914
50000,10,20,1,0.0777747499911774,0.979
50000,20,20,1,0.0785911183008182,0.983
1000,1,21,1,0.200097371140957,0.914
1000,10,21,1,0.198485832749077,0.92
1000,20,21,1,0.197609352097258,0.921
10000,1,21,1,0.0985411950527218,0.92
10000,10,21,1,0.0991514536326015,0.96
10000,20,21,1,0.0988118535352468,0.961
1e+05,1,21,1,0.0980284238675193,0.878
1e+05,10,21,1,0.109067231786876,0.951
1e+05,20,21,1,0.106994562509919,0.955
20000,1,21,1,0.096479434961401,0.873
20000,10,21,1,0.0908796506693549,0.97
20000,20,21,1,0.0903409332829653,0.974
50000,1,21,1,0.0987369604171475,0.896
50000,10,21,1,0.103454821358195,0.951
50000,20,21,1,0.100341152952678,0.963
1000,1,22,1,0.235699347963937,0.916
1000,10,22,1,0.236822873102508,0.934
1000,20,22,1,0.235334557100035,0.933
10000,1,22,1,0.112464881820712,0.916
10000,10,22,1,0.102515065334617,0.959
10000,20,22,1,0.10203690689165,0.958
1e+05,1,22,1,0.0889234265984353,0.915
1e+05,10,22,1,0.0779618895957067,0.964
1e+05,20,22,1,0.0788438858973571,0.967
20000,1,22,1,0.086076794142637,0.944
20000,10,22,1,0.0816016702650517,0.975
20000,20,22,1,0.0769127578556841,0.983
50000,1,22,1,0.105088396653893,0.895
50000,10,22,1,0.101702418477197,0.945
50000,20,22,1,0.103559959609381,0.954
1000,1,23,1,0.209159748121592,0.927
1000,10,23,1,0.208899062637252,0.945
1000,20,23,1,0.209981787890482,0.941
10000,1,23,1,0.117155756401998,0.911
10000,10,23,1,0.110866432545174,0.955
10000,20,23,1,0.110216199668338,0.956
1e+05,1,23,1,0.0645533156520748,0.87
1e+05,10,23,1,0.0698866134485887,0.969
1e+05,20,23,1,0.0685967587520573,0.976
20000,1,23,1,0.106460411526083,0.932
20000,10,23,1,0.10157650078368,0.953
20000,20,23,1,0.0983428858158614,0.96
50000,1,23,1,0.112858839318191,0.877
50000,10,23,1,0.115621895153401,0.953
50000,20,23,1,0.114912627861127,0.964
1000,1,24,1,0.193606798038534,0.915
1000,10,24,1,0.194057732543939,0.916
1000,20,24,1,0.195075289139698,0.921
10000,1,24,1,0.118728396195078,0.906
10000,10,24,1,0.111788038485667,0.945
10000,20,24,1,0.109653435460098,0.956
1e+05,1,24,1,0.0890203176376395,0.889
1e+05,10,24,1,0.0807646400276807,0.966
1e+05,20,24,1,0.0797995139907777,0.97
20000,1,24,1,0.111077068669124,0.921
20000,10,24,1,0.10863831550506,0.957
20000,20,24,1,0.10834011583623,0.965
50000,1,24,1,0.0679287210133282,0.898
50000,10,24,1,0.0682463215063925,0.957
50000,20,24,1,0.0681738658912634,0.956
1000,1,25,1,0.186755511361825,0.938
1000,10,25,1,0.187389899723611,0.946
1000,20,25,1,0.187911181173439,0.943
10000,1,25,1,0.149187186037056,0.89
10000,10,25,1,0.141929325368482,0.948
10000,20,25,1,0.139722548028733,0.953
1e+05,1,25,1,0.101556392906176,0.894
