"n","nchain","run","exp","rmse","cov"
1,5,18,1,55713.1159303527,0.582687338501292
10,1,18,1,48985.5458975362,0.353682170542636
10,2,18,1,48171.8004178626,0.437015503875969
10,5,18,1,48369.2815280926,0.494832041343669
2,1,18,1,53054.8846400568,0.494186046511628
2,2,18,1,53562.0059160632,0.515503875968992
2,5,18,1,53266.0112081649,0.531007751937985
5,1,18,1,50335.3832570919,0.433139534883721
5,2,18,1,49965.8526021875,0.453165374677003
5,5,18,1,49668.677617438,0.522932816537468
1,1,19,1,56253.6932946264,0.538759689922481
1,2,19,1,55587.4989174502,0.574935400516796
1,5,19,1,56134.4490733253,0.571059431524548
10,1,19,1,48842.3412357569,0.37984496124031
10,2,19,1,48319.0647748741,0.42312661498708
10,5,19,1,48208.6862190933,0.488695090439277
2,1,19,1,52524.4711320374,0.510981912144703
2,2,19,1,53034.5095302249,0.534883720930233
2,5,19,1,52463.4228340114,0.549741602067183
5,1,19,1,49449.8979258791,0.427002583979328
5,2,19,1,49401.7273484751,0.471899224806202
5,5,19,1,49260.0915976333,0.513565891472868
1,1,2,1,55545.0486505343,0.565891472868217
1,2,2,1,55062.078612784,0.587532299741602
1,5,2,1,55488.3275149537,0.590116279069767
10,1,2,1,49027.2142195556,0.37984496124031
10,2,2,1,48620.0338828799,0.429909560723514
10,5,2,1,48372.9790416985,0.505167958656331
2,1,2,1,52002.8325311903,0.525839793281654
2,2,2,1,52622.1449108661,0.55264857881137
2,5,2,1,52234.8879930484,0.58171834625323
5,1,2,1,50117.1968135598,0.424095607235142
5,2,2,1,49925.1516650575,0.471899224806202
5,5,2,1,49447.8806484596,0.519702842377261
1,1,20,1,55590.2708363039,0.568152454780362
1,2,20,1,55100.401700605,0.591731266149871
1,5,20,1,55050.5990046832,0.59140826873385
10,1,20,1,49071.9409603772,0.37015503875969
10,2,20,1,48390.2429927115,0.448320413436692
10,5,20,1,48238.2459660052,0.493863049095607
2,1,20,1,53509.1564571738,0.514857881136951
2,2,20,1,52954.6381574344,0.528423772609819
2,5,20,1,53027.9353479059,0.56233850129199
5,1,20,1,50024.7724004105,0.445736434108527
5,2,20,1,49493.6694628636,0.486757105943152
5,5,20,1,48807.0644306595,0.546511627906977
1,1,21,1,54930.2617536859,0.575581395348837
1,2,21,1,55113.7010505024,0.583010335917313
1,5,21,1,55029.9976068914,0.588178294573643
10,1,21,1,49267.9393308016,0.346899224806202
10,2,21,1,48599.856690667,0.430232558139535
10,5,21,1,48567.0523372039,0.490956072351421
2,1,21,1,53763.5247881437,0.513242894056848
2,2,21,1,53054.5275782605,0.537790697674419
2,5,21,1,53108.9224699985,0.550387596899225
5,1,21,1,51177.5989576387,0.433462532299742
5,2,21,1,50371.1621199588,0.469961240310078
5,5,21,1,50160.7089540232,0.516149870801034
1,1,22,1,57197.828879633,0.552325581395349
1,2,22,1,56390.6463925052,0.565891472868217
1,5,22,1,56698.5200430887,0.577519379844961
10,1,22,1,48813.6010069609,0.364987080103359
10,2,22,1,48814.8882579587,0.430555555555556
10,5,22,1,48216.6789601378,0.497416020671835
2,1,22,1,53244.2710574726,0.505167958656331
2,2,22,1,52665.290385132,0.544896640826873
2,5,22,1,52719.4181717487,0.55749354005168
5,1,22,1,50631.361583978,0.414728682170543
5,2,22,1,50016.4898601263,0.47577519379845
5,5,22,1,49847.471291079,0.51905684754522
1,1,23,1,56275.7592521822,0.540051679586563
1,2,23,1,55844.4060330306,0.547480620155039
1,5,23,1,55487.449054091,0.568475452196382
10,1,23,1,48799.4688710063,0.36046511627907
10,2,23,1,48498.0195937188,0.44250645994832
10,5,23,1,48310.2500062029,0.493540051679587
2,1,23,1,53636.7733894,0.513242894056848
2,2,23,1,53533.7021307703,0.515503875968992
2,5,23,1,53420.1594010492,0.543604651162791
5,1,23,1,49942.3644384194,0.421188630490956
5,2,23,1,49874.525187678,0.46156330749354
5,5,23,1,49945.6557216049,0.518410852713178
1,1,24,1,54637.7099493412,0.579457364341085
1,2,24,1,54875.132796851,0.595930232558139
1,5,24,1,54928.1219582397,0.603036175710594
10,1,24,1,48823.2124390834,0.376291989664083
10,2,24,1,48430.2287485327,0.438630490956072
10,5,24,1,48075.3323988026,0.499677002583979
2,1,24,1,52713.9488567759,0.498385012919897
2,2,24,1,52237.0225473309,0.540051679586563
2,5,24,1,51671.7824735738,0.568152454780362
5,1,24,1,50163.5812980772,0.424095607235142
5,2,24,1,49804.3862393932,0.459302325581395
5,5,24,1,49640.1951255317,0.50968992248062
1,1,25,1,55577.4408423625,0.559431524547804
1,2,25,1,55361.4812678758,0.553617571059432
1,5,25,1,55311.1722849798,0.561692506459948
10,1,25,1,48690.4344391458,0.383074935400517
10,2,25,1,49078.445889313,0.434108527131783
10,5,25,1,48455.0562182656,0.488372093023256
2,1,25,1,52455.5811925741,0.495801033591731
2,2,25,1,52282.6347964141,0.510981912144703
2,5,25,1,52410.9222498199,0.543927648578811
5,1,25,1,50292.982098469,0.42764857881137
5,2,25,1,50322.4007845002,0.47577519379845
5,5,25,1,49483.1702214337,0.520348837209302
1,1,26,1,54540.8007586845,0.587532299741602
1,2,26,1,54383.2123567758,0.604005167958656
1,5,26,1,54292.8465958807,0.619509043927649
10,1,26,1,48557.9114704421,0.385981912144703
10,2,26,1,48429.1811374492,0.428617571059432
10,5,26,1,48264.3293611335,0.487726098191214
2,1,26,1,53167.6738900735,0.487726098191214
2,2,26,1,52881.8572130971,0.523255813953488
2,5,26,1,52541.2059790384,0.555232558139535
5,1,26,1,51366.4684826051,0.417958656330749
5,2,26,1,50906.1221600381,0.467700258397933
5,5,26,1,50208.7748113631,0.51421188630491
1,1,27,1,55171.9001705251,0.569767441860465
1,2,27,1,55256.1930172022,0.588178294573643
1,5,27,1,54931.3615477432,0.597222222222222
